Speaker,Steam (ST)
Ronove,"""Good morning, Milady. My, my, you do appear to be in a good mood. What a pleasant awakening you seem to have had."" "
{f:5:Beatrice},"""What do you mean, pleasant awakening...?! I was so excited, I couldn't sleep a wink. After all, the curtain is rising on the fun, fun fourth game...!"" "
,It seemed that she truly had been so excited that she hadn't gotten any sleep. 
,"Did she show absolutely no signs of lacking sleep because she was young, or because she had the mind of a little kid? "
,"Ronove chose not to say that aloud, and laughed ""pu ku ku"" instead. "
{f:5:Beatrice},"""I really ran that Battler into the ground last time! Ah, the look on his face when he was like ""You tricked me""! That was so patheeetic! Even so, is that guy still feeling down?"" "
Ronove,"""Feeling down, you say...?"" "
{f:5:Beatrice},"""Hmm, well, that's right. ...That man's a bit too trusting for his age, isn't he?"" "
Ronove,"""Indeed. Although you could call that his charm. Pu ku ku..."" "
{f:5:Beatrice},"""*cackle*cackle*cackle*! Ain't it the truth, ain't it the truth? Well, speaking of which. Didn't he totally fall for that one last time?"" "
Ronove,"""Yes, totally and splendidly. ...You violated the purity of one never deceived since the time of his birth, as well as his rosebud-like innocence, all to your heart's content. "
Ronove,"......Even the joy of dashing across a field covered with beautiful new snow on a winter morning and trampling it completely wouldn't even begin to compare."" "
Ronove,"""Didn't you take Battler-sama's innocent heart, and quite thrillingly, splendidly, atrociously, mercilessly, and unculturedly go just a little too far...? And you insulted him to the highest degree, enough to make one uneasy. "
Ronove,"Most people would be crushed after something like that. Pukukukuku, so much so that they wouldn't want to see your face ever again."" "
{f:5:Beatrice},"""I-I know that much...! "
{f:5:Beatrice},"I also...umm...thought that if he was too disheartened to join us at the table, even though the fourth game is finally starting, that would be such a pain, so I came to you, thinking that it'd be better to prepare a counter-measure for that case beforehand...!"" "
Ronove,"""Hmmmm... In that case, perhaps it really would be best to prepare such a counter-measure. I am sad to say that your ""North Wind and the Sun Strategy"" gave Battler-sama quite a shock."" "
{f:5:Beatrice},"""H-Hoh... ...A shock, you say? How bad of one...?"" "
,"Beato lowered her voice slightly, asking timidly. Ronove followed suit...and lowered his voice in the same way. "
Ronove,"""...In truth, he has been crouching and clutching at his knees for some time now. I spoke to him several times, but he did not answer. I also brought him some food, but he never even touched it."" "
{f:5:Beatrice},"""...Th-That is...troublesome... Is he really feeling that down...?"" "
Ronove,"""Pukukukuku. It is only natural. ...After all, you {nobreak:tho rough ly} destroyed him, Milady. That would turn most anyone into a misanthrope."" "
{f:5:Beatrice},"""Hoh, distrust of Humans? How convenient! Let him give up on Humans and trust witches, wahahaha... ......O-Oh, *cough*. Sorry, I shouldn't fool around too much."" "
,"Beato had tried to joke about it, but the situation seemed to be quite serious, so that even she took the hint and hid her laughter. "
{f:5:Beatrice},"""...Is it really that serious...? Sh-Should we wait just a little longer before beginning the fourth game...?"" "
Ronove,"""Lady {f:5:Bernkastel}'s guest will be arriving, so it may be best to open the fourth game quickly. However, perhaps you ought to show a little concern for Battler's feelings, Milady."" "
{f:5:Beatrice},"""Concern! Show concern, you say?! How should I do that...?! He is feeling down, so... th-that's right, shall I cheer him up?!"" "
Ronove,"""When a person's heart is dark and closed off, interacting with them in a dark manner gains you nothing. Your only option is to shine with a brightness stronger than the dark."" "
Ushiromiya Battler,"""Damn iiiiiiiiiiiiiit, quit messing arooooooooouund...!!!"" "
Beelzebub,"""Kya-hhahaha!! Battler-kuuun, over heeere! A croissant baked by Ronove-sama would be wasted on the likes of yooou! Why don't I enjoy it myself?"" "
,Battler's stomach involuntarily growled at the fragrant smell of the croissant. 
,"His breakfast plate was empty, but Battler hadn't eaten any of it. ...The biggest glutton of the Seven Sisters of Purgatory, Beelzebub, had waited for Ronove to leave, and had then come to snatch the food away. "
,"Battler had noticed, and they'd been really noisy ever since. "
,"Even though Beelzebub only had to give it back immediately or else throw it into her own mouth right away, she intentionally ran around in circles, making fun of Battler. "
Ushiromiya Battler,"""Give my breakfast back, dammiiiit!! If you give it back now, I'll let you off with a single flick to the forehead. But just you try eating it!!"" "
Beelzebub,"""What, are you gonna eat me up insteeead?! Kyaha! If you think you can, just try it! I'll bet I'll be as sweet as honey pancakes. ...kya!"" "
Ushiromiya Battler,"""Gotcha!! Right now, I want to eat that bread even more than your thighs. Be a good girl and give it heeeeeeeeere, fugagigigigi...!! So, you resist until the eeeeeeeeeend...!!"" "
Beelzebub,"""Ugugugugu!! No way, no way, I won't give it to yooou!! Even the croissant wants me to eat iiit!!!"" "
{f:5:Beatrice},"""Y-Yaay, yahooooooooo, g'moooooorning, Battleeeer!! Are you still moping so early in the morniiing?!?! It's the beginning of a new day, and a new game, so let's get our spirits uuuuuuuuuup!!"" "
,...She flung the door open. 
,"Like a marathon runner drawn on a certain caramel box, with her hands held high and an idiotic cheeriness, ...Beato appeared. "
,"For some reason, flags from around the world and confetti scattered about, perfectly completing this magnificent entrance. "
,"...Battler and Beelzebub, who had been fighting over the croissant, completely forgot about their argument, speechless. "
Beelzebub,"""K...Kyahahahaha! Good morning, {f:5:Beatrice}-sama! I'll just be on my way now! Here, Battler-kun, say aaah!"" "
Ushiromiya Battler,"""Mggmffff!!"" "
Ushiromiya Battler,"Mmm mmm, *chomp*, ...*gulp*. ... ...H-Hey, morning, Beato... ...Glad to see you're cheery this morning."" "
,............ 
,Beato and Battler looked at each other. ...It seemed neither had a clue what was going on with the other. 
