Speaker,Steam (ST)
,...Was it someone's alarm clock? 
,An electronic tone repeatedly rang out through the room... 
,"Battler, who had gone to bed late and not managed to get enough sleep, covered his head in his blanket and waited for someone to turn off the alarm. "
,"...But no matter how much time passed, the electronic tone didn't stop. "
,......I see. 
,"The point of an alarm clock isn't just to be loud enough to wake you, but to be annoying enough to keep you from wanting to fall back asleep. "
,"Heeey, ...the alarm's going off. Make it stop please... "
,Why do waking-up voices always get this annoyed? 
,"...Well, it does makes sense. After all, people are still sleepy and in a bad mood. "
,"However, there was absolutely no sign that my annoyed voice had caused anyone to turn over in their sleep... or crawl out of bed to stop the alarm. "
,"Letting out a deep sigh, I stumbled to my feet. "
,"With the shutters down on the windows, there was almost no light getting in, and the room was as dim as it had been earlier. "
,"Though, even without the shutters, there's no way this dull weather would let in enough sun to make this a pleasant morning. "
,"The cousins were still wrapped up in their beds, sound asleep and taking no notice whatsoever of that beeping. "
,"Normally, once any one person gets up, the others tend to automatically follow... "
,"...Annoyed that this ""law of serial summer camp awakenings"" that I'd made up had been broken, I searched for the source of the sound. "
,I could hear it coming from a wristwatch set on a table. 
,"Judging by the style of the watch, it was probably George-aniki's. "
,"Anyway, when I randomly pushed a small button on the side of it, the sound stopped. "
,"Apparently, it had been set for 7:00 in the morning. ......Is it already 7:00? "
,"Sorry, but I really don't feel like I slept at all... "
,Playing cards were left on the table as though they had stopped mid-game. 
,...The game had probably been sevens. 
Ushiromiya Battler,"""..............."" "
,"Dammit, ...I've got this piercing headache. "
,What the hell happened last night? 
,...That mountain of gold and the subsequent argument between the relatives...all feel like a bad dream... 
Ushiromiya Battler,"""......So stupid..."" "
,Breakfast normally came at 8:00. ......Now wasn't a bad time to start getting up and getting dressed. 
,Even those adults probably won't argue in front of the cousins. 
,"......In that case, I'll stay with my cousins all day long. "
,I'm sure they'll be able to separate me from all this annoying talk about the gold and being the Successor and all...... 
,"In fact, I should have done this from the beginning... "
,"I felt disgusting, having slept with my clothes on last night, which caused me to get all sweaty. "
,...I guess I'll take a shower. 
,I'm sure the others want to as well. 
,"At this age, it's embarrassing to wake them by shaking their shoulders. If I turn the TV on, everyone will probably wake up. Well, let's at least turn the lights on for now. "
,"...In this dim light, with the quiet sound of the never-ending wind and rain, it really doesn't feel like morning has come yet. "
,"I flipped the light switch. And then, that dimly lit morning ended. "
Ushiromiya Eva,"""......George, ......Geeeooooooooorge!!!"" "
Ushiromiya Hideyoshi,"""This is just too horrible... How...could anyone get away with somethin' like this...?!!"" "
,"As they clung to Aniki's corpse, which would never wake up again, ...Aunt Eva and Uncle Hideyoshi cried. "
Nanjo Terumasa,"""...That's enough. Do you think George-kun would like the two of you to see him this way...? Of course not...!"" "
Ushiromiya Rudolf,"""......Aneki, I know how you feel, but let's have Doctor Nanjo handle this..."" "
Ushiromiya Eva,"""You don't understand!! George was killed! George!! Geoooooooooorge, ugghaaaaaaaaaaahhhhh!!"" "
Ushiromiya Hideyoshi,"""Doctor Nanjo's right. We mustn't keep staring at George in such a state... ...This is for George's sake! We have to restrain ourselves for now...!"" "
,"When Aunt Eva tried even harder to cling to that corpse, Dad and Uncle Hideyoshi dragged her away and had a heated debate with her beside the wall... "
Ushiromiya Eva,"""No, nooooooooooooo, Geooooooooorge!! Doctor Nanjo! Help him!! If he's lost too much blood, do a blood transfusion!! George and I are the same blood type!! I beg you! Doctor Nanjo!!"" "
Nanjo Terumasa,""".........Eva-san, ...it pains me to say this, ...but your blood can't do George-kun any good now..."" "
,"Doctor Nanjo shook his head slightly, then nodded across to where I stood, giving me a signal. "
,"I softly pulled the blanket up, ...covering George-aniki's corpse. "
,His neck...was split wide open. ...It was probably...larger and deeper than his mouth. Would covering that part up make the corpse look neat and clean...? 
,Of course not... 
,"...The large amount of lost blood stained the bed a horrible red and black, ...and even covering him with the blanket couldn't hide the traces. "
,"After all, even the blanket had large, red-black stains, and covering him with it made his corpse look even more gruesome... "
,So I stripped the blanket off of my bed and placed it on top of the first one. 
,...But there were only two extra blankets. 
,"So if we covered one more of the corpses, ...we wouldn't be able to cover any more. "
,"I feel bad about the ones we can't cover, ...but for some reason, ...times like these make me feel like muttering ""don't complain about it being unfair"" inside my head...... "
Ushiromiya Rudolf,"""...Kyrie, put blankets over all of them. ...Wouldn't want them to catch cold."" "
Ushiromiya Kyrie,""".........Sure."" "
,"Kyrie-san and I started covering the other corpses up to their heads with their blankets, just like George-aniki's... "
,"...So that they wouldn't have to undergo any more shame, ...with their terrible wounds exposed like this... "
,In one bed...rested Jessica. 
,...Jessica was exactly the same as George-aniki. 
,"Though she appeared to be resting quietly in the bed, ...her neck had been sliced deep and the wound lay open in a brutal way... "
,Maria was the same. 
,...And not only Maria. 
,There was one more victim. 
,"Lying on the same bed, as though they'd been sleeping alongside each other, ...was Aunt Rosa. "
,"George-aniki, Jessica, Maria, ...and Aunt Rosa. "
,"...In this room were four humans who had been killed, their necks sliced open. "
,They'd probably been like that since last night. 
,"...I'd returned without noticing anything, gotten in bed, and fallen asleep... "
,......All of them had a horizontal cut across their throats. 
,I had been...forced to see all the way...into the depths of those gashes in everyone's throats... 
,"At worst, the wounds might've been deep enough to stretch halfway through their necks. "
,"...If you tried to open it up, you'd probably be able to see that the gash reached all the way to the bone. "
,The only wounds were the single gashes on each neck. 
